"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"79","Nick Jensen","OTT","D","38","802.46666666667","2","11","4","7","13","30.23","45","4.44","1.87","122","74","34","6","7","5","4","2","2","0","0","5","40","13","36","96","44","0","0","-"
"84","Chris Tanev","TOR","D","40","784.53333333333","1","12","5","7","13","30.23","19","5.26","0.78","66","33","18","3","2","3","16","8","8","0","0","5","38","8","8","75","116","0","0","-"
"91","Justin Faulk","STL","D","37","867.56666666667","2","11","6","5","13","40.63","65","3.08","3.13","152","92","53","7","8","21","14","7","7","0","0","2","45","15","44","37","51","0","0","-"
"97","Cam Fowler","ANA, STL","D","28","608.81666666667","4","9","7","2","13","43.33","36","11.11","2.05","79","43","28","8","2","6","10","5","5","0","0","1","27","6","3","23","52","0","0","-"
"132","Brandon Saad","STL","L","35","518.9","7","6","3","3","13","61.90","54","12.96","5.89","97","75","54","29","4","4","6","3","3","0","0","4","22","10","7","20","9","2","6","25.00"
"149","Connor Murphy","CHI","D","38","780.7","1","12","3","9","13","46.43","45","2.22","2.4","99","63","25","4","5","12","38","16","14","2","0","12","35","11","70","75","93","0","0","-"
"164","Brady Skjei","NSH","D","40","863.8","3","10","3","7","13","37.14","80","3.75","4.09","172","112","39","6","10","11","16","8","8","0","0","7","53","17","24","54","40","0","0","-"
"229","Jason Dickinson","CHI","C","40","639.45","7","6","2","4","13","52.00","42","16.67","4.91","109","66","57","23","6","9","12","6","6","0","0","8","15","11","61","49","31","299","336","47.09"
"241","Seth Jones","CHI","D","24","600.38333333333","3","10","5","5","13","40.63","49","6.12","2.72","116","74","33","4","2","11","10","5","5","0","0","1","26","13","25","25","44","0","0","-"
"260","Trevor van Riemsdyk","WSH","D","40","707.88333333333","0","13","8","5","13","36.11","51","0.00","1.6","122","78","23","3","5","13","10","5","5","0","0","1","35","13","5","22","80","0","0","-"
"286","Marcus Pettersson","PIT","D","35","764.65","2","11","7","4","13","33.33","36","5.56","1.18","100","65","17","3","5","10","23","10","9","1","0","5","44","16","38","86","59","0","0","-"
